SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SWCDH,2018-08-26 04:19:14.518,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/206.jpg
SWCDH,2018-08-26 04:21:14.557,,EVENT,Auto imaging. Index = 207:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/207.jpg
SWCDH,2018-08-26 04:21:14.557,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/207.jpg
SWCDH,2018-08-26 04:22:39.523,,EVENT,Auto imaging. Index = 208:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/208.jpg
SWCDH,2018-08-26 04:22:39.523,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/208.jpg
SWCDH,2018-08-26 04:22:39.523,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/208.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:22:39.523,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/208.jpg
SWCDH,2018-08-26 04:24:39.530,,EVENT,Auto imaging. Index = 209:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/209.jpg
SWCDH,2018-08-26 04:24:39.530,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/209.jpg
SWCDH,2018-08-26 04:26:39.537,,EVENT,Auto imaging. Index = 210:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/210.jpg
SWCDH,2018-08-26 04:26:39.537,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/210.jpg
SWCDH,2018-08-26 04:26:39.537,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/210.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:26:39.537,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/210.jpg
SWCDH,2018-08-26 04:28:39.592,,EVENT,Auto imaging. Index = 211:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/211.jpg
SWCDH,2018-08-26 04:28:39.592,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/211.jpg
SWCDH,2018-08-26 04:30:39.619,,EVENT,Auto imaging. Index = 212:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/212.jpg
SWCDH,2018-08-26 04:30:39.619,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/212.jpg
SWCDH,2018-08-26 04:30:39.619,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/212.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:30:39.619,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/212.jpg
SWCDH,2018-08-26 04:32:39.627,,EVENT,Auto imaging. Index = 213:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/213.jpg
SWCDH,2018-08-26 04:32:39.627,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/213.jpg
SWCDH,2018-08-26 04:34:39.631,,EVENT,Auto imaging. Index = 214:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/214.jpg
SWCDH,2018-08-26 04:34:39.631,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/214.jpg
SWCDH,2018-08-26 04:34:39.631,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/214.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:34:39.631,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/214.jpg
SWCDH,2018-08-26 04:36:39.646,,EVENT,Auto imaging. Index = 215:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/215.jpg
SWCDH,2018-08-26 04:36:39.646,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/215.jpg
SWCDH,2018-08-26 04:38:39.674,,EVENT,Auto imaging. Index = 216:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/216.jpg
SWCDH,2018-08-26 04:38:39.674,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/216.jpg
SWCDH,2018-08-26 04:38:39.674,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/216.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:38:39.674,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/216.jpg
SWCDH,2018-08-26 04:40:39.706,,EVENT,Auto imaging. Index = 217:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/217.jpg
SWCDH,2018-08-26 04:40:39.706,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/217.jpg
SWCDH,2018-08-26 04:42:39.708,,EVENT,Auto imaging. Index = 218:raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/218.jpg
SWCDH,2018-08-26 04:42:39.708,,EVENT,Requesting image from NAVEM: ssh root@172.20.4.202 raspistill -n -vf -hf -w 1920 -h 1080 -q 10 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/218.jpg
SWCDH,2018-08-26 04:42:39.708,,EVENT,Getting image from NAVEM: scp root@172.20.4.202:/mnt/ssd/swcdh/pictures/218.jpg /mnt/ssd/swcdh/pictures/
SWCDH,2018-08-26 04:42:39.708,,EVENT,Taking onboard image: raspistill -n -vf -hf -q 100 -a 12 -t 2000 -o /mnt/ssd/swcdh/pictures/large/218.jpg
